Institution code (UKPRN),Institution name,Institution sort order,Main panel,Unit of assessment number,Unit of assessment name,Multiple submission letter,Multiple submission name,Joint submission,Profile,FTE Category A staff submitted,4*,3*,2*,1*,unclassified,Area,Post92
10000291,Anglia Ruskin University,10,A,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy", ,,,Outputs,11.3,6.4,68.1,25.5,0,0,EAST,TRUE
10000291,Anglia Ruskin University,10,A,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy", ,,,Impact,11.3,20,80,0,0,0,EAST,TRUE
10000291,Anglia Ruskin University,10,A,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy", ,,,Environment,11.3,12.5,75,12.5,0,0,EAST,TRUE
10000291,Anglia Ruskin University,10,A,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy", ,,,Overall,11.3,10,72,18,0,0,EAST,TRUE
10000291,Anglia Ruskin University,10,A,4,"Psychology, Psychiatry and Neuroscience", ,,,Outputs,13.7,10.3,61.5,25.6,2.6,0,EAST,TRUE
10000291,Anglia Ruskin University,10,A,4,"Psychology, Psychiatry and Neuroscience", ,,,Impact,13.7,0,0,20,80,0,EAST,TRUE
10000291,Anglia Ruskin University,10,A,4,"Psychology, Psychiatry and Neuroscience", ,,,Environment,13.7,0,37.5,62.5,0,0,EAST,TRUE
10000291,Anglia Ruskin University,10,A,4,"Psychology, Psychiatry and Neuroscience", ,,,Overall,13.7,7,45,30,18,0,EAST,TRUE
10000291,Anglia Ruskin University,10,A,5,Biological Sciences, ,,,Outputs,7.25,0,34.8,39.1,4.4,21.7,EAST,TRUE
10000291,Anglia Ruskin University,10,A,5,Biological Sciences, ,,,Impact,7.25,0,10,70,20,0,EAST,TRUE
10000291,Anglia Ruskin University,10,A,5,Biological Sciences, ,,,Environment,7.25,0,0,0,87.5,12.5,EAST,TRUE
10000291,Anglia Ruskin University,10,A,5,Biological Sciences, ,,,Overall,7.25,0,25,39,20,16,EAST,TRUE
10000291,Anglia Ruskin University,10,B,15,General Engineering, ,,,Outputs,8,0,31,65.6,3.4,0,EAST,TRUE
